code,network,name,latitude,longitude,elevation,created_at
MLMMI,IA,MoaLakor,-8.148,127.792,,2025-02-06 11:35:03
MMCI,IA,Mamasa,-2.9556,119.3628,,2025-02-06 11:35:03
MMRI,IA,Maumere,-8.6357,122.2376,,2025-02-06 11:35:03
MMSI,IA,Mamuju,-2.6892,118.909,,2025-02-06 11:35:03
MNAI,IA,Manna,-4.3605,102.9557,,2025-02-06 11:35:03
MNI,IA,Manado,1.444,124.84,,2025-02-06 11:35:03
MNSI,IA,Mandailing-Natal,0.7955,99.5796,,2025-02-06 11:35:03
MPSI,IA,Mapaga,0.3374,119.898,,2025-02-06 11:35:03
MPSM,IA,Mapat-Tunggul,0.5892,100.1384,,2025-02-06 11:35:03
MRSI,IA,Marisa,0.4771,121.9406,,2025-02-06 11:35:03
MSAI,IA,Amahai,-3.3462,128.9285,,2025-02-06 11:35:03
MSCM,IA,Masamba,-2.534,120.332,,2025-02-06 11:35:03
MSHHI,IA,Maba Selatan,0.629,128.425,,2025-02-06 11:35:03
MTAI,IA,Morotai,2.198,128.2758,,2025-02-06 11:35:03
MTCM,IA,Malili,-2.61,121.118,,2025-02-06 11:35:03
MTJPI,IA,MuaraTami,-2.627,140.864,,2025-02-06 11:35:03
MTKI,IA,Muara-Teweh,-0.9418,114.8959,,2025-02-06 11:35:03
MTMPI,IA,MamberamoTengah,-2.305,138.037,,2025-02-06 11:35:03
MTMTI,IA,Malaka Tengah,-9.585,124.875,,2025-02-06 11:35:03
MTSI,IA,Manduamas,2.1527,98.2527,,2025-02-06 11:35:03
MTSM,IA,Muara-Dua,-4.3053,103.509,,2025-02-06 11:35:03
MUMUI,IA,Mangoli Utara,-1.785,125.481,,2025-02-06 11:35:03
MUTSI,IA,Muara,2.300,98.965,,2025-02-06 11:35:03
MWPI,IA,Manokwari,-0.9258,134.0431,,2025-02-06 11:35:03
NANFI,IA,Nangaroro,-8.761,121.302,,2025-02-06 11:35:03
NBMI,IA,Namrole,-3.7113,126.419,,2025-02-06 11:35:03
NBPI,IA,Nabire,-3.3656,135.4972,,2025-02-06 11:35:03
NGJI,IA,Ngawi,-7.3676,111.4612,,2025-02-06 11:35:03
NJBM,IA,Negara,-8.3099,114.6171,,2025-02-06 11:35:03
NKBI,IA,Nusa-Penida,-8.726115,115.5259633,,2025-02-06 11:35:03
NKKI,IA,Nanga-Tayap,-1.56,110.5666,,2025-02-06 11:35:03
NSBMM,IA,Seram-Barat,-3.0828,128.2096,,2025-02-06 11:35:03
OBMI,IA,Pulau-Obi,-1.3414,127.6444,,2025-02-06 11:35:03
OBMPI,IA,Obaa,-6.555,139.300,,2025-02-06 11:35:03
OMBFM,IA,Komodo,-8.691,119.8247,,2025-02-06 11:35:03
ONSM,IA,Onan-Ganjang,2.1598,98.63,,2025-02-06 11:35:03
PAASI,IA,Pulo Aceh,5.671,95.129,,2025-02-06 11:35:03
PABI,IA,Pasaman,0.1241,99.8719,,2025-02-06 11:35:03
PABKI,IA,Paramasan,-3.112172,115.364220,,2025-02-06 11:35:03
PAFM,IA,Pantar-Tengah,-8.3832,124.1283,,2025-02-06 11:35:03
PAKI,IA,Paser,-1.909218,116.19141,,2025-02-06 11:35:03
PASJI,IA,Padarincang,-6.2120,105.9835,,2025-02-06 11:35:03
PASMI,IA,PagaiSelatan,-2.9646,100.2028,,2025-02-06 11:35:03
PBCI,IA,Bolaang-Uki,0.383,124.0396,,2025-02-06 11:35:03
PBJI,IA,Pasir-Jambu,-7.0874767,107.4757817,,2025-02-06 11:35:03
PBKI,IA,Pangkalan-Bun,-2.7047,111.6697,,2025-02-06 11:35:03
PBLI,IA,Pujut,-8.8218,116.2778,,2025-02-06 11:35:03
PBMMI,IA,Pulau-PulauBabar,-7.86,129.597,,2025-02-06 11:35:03
PBMSI,IA,Poigar,0.995298,124.282277,,2025-02-06 11:35:03
PBNI,IA,Parado,-8.755,118.56852,,2025-02-06 11:35:03
PBSI,IA,Pulau-Batu,-0.0547,98.28,,2025-02-06 11:35:03
PCI,IA,Palu,-0.9055,119.8367,,2025-02-06 11:35:03
PCJI,IA,Pacitan,-8.1947,111.1771,,2025-02-06 11:35:03
PCJM,IA,Pabuaran,-6.913,108.7192,,2025-02-06 11:35:03
PDLI,IA,Tambora,-8.1037,117.8729,,2025-02-06 11:35:03
PDSI,IA,Padang,-0.9118,100.4617,,2025-02-06 11:35:03
PGJM,IA,Panggang,-8.0102,110.4142,,2025-02-06 11:35:03
PICM,IA,Parigi-Utara,-0.711,120.0887,,2025-02-06 11:35:03
PKCI,IA,Palangga,-4.2918,122.481,,2025-02-06 11:35:03
PKJI,IA,Paninggaran,-7.1678,109.5798,,2025-02-06 11:35:03
PKJM,IA,Pasawahan,-6.7988,108.445,,2025-02-06 11:35:03
PKSI,IA,Pagar-AlamUtara,-4.0428,103.2639,,2025-02-06 11:35:03
PLAI,IA,Plampang,-8.7006,117.7219,,2025-02-06 11:35:03
PLJI,IA,Plosoklaten,-7.8616,112.1548,,2025-02-06 11:35:03
PLSI,IA,Pangkalan-KotoBaru,0.23729,100.55398,,2025-02-06 11:35:03
PLSM,IA,Sosa,1.0576,99.7759,,2025-02-06 11:35:03
PMBI,IA,Palembang,-2.9024,104.6993,,2025-02-06 11:35:03
PMCI,IA,Pasangkayu,-1.1748,119.398,,2025-02-06 11:35:03
PMMI,IA,Pulau-Makian,0.372,127.4158,,2025-02-06 11:35:03
PMSI,IA,Majene,-3.5008,118.9149,,2025-02-06 11:35:03
POBSI,IA,Poleang,-4.740,122.002,,2025-02-06 11:35:03
POCI,IA,Poso-Pesisir,-1.42032,120.657,,2025-02-06 11:35:03
POKJI,IA,Poncokusumo,-8.053,112.812,,2025-02-06 11:35:03
PPCM,IA,Patampanua,-3.727,119.7269,,2025-02-06 11:35:03
PPI,IA,Padangpanjang,-0.455,100.3968,,2025-02-06 11:35:03
PPJI,IA,Tretes,-7.7054,112.635,,2025-02-06 11:35:03
PPLI,IA,Punduh-Pedada,-5.74103,105.14486,,2025-02-06 11:35:03
PPSI,IA,Pulau-Pagai,-2.766,100.01,,2025-02-06 11:35:03
PPSM,IA,Pesisir-Selatan,-5.3181,104.0153,,2025-02-06 11:35:03
PRJI,IA,Pracimantoro,-8.07216,110.79178,,2025-02-06 11:35:03
PRLJI,IA,Pasiran,-8.232273,113.114018,,2025-02-06 11:35:03
PRSI,IA,Pelalawan,0.377521,101.822472,,2025-02-06 11:35:03
PSI,IA,Parapat,2.6952,98.924,,2025-02-06 11:35:03
PSJCM,IA,Pasimassungu,-7.06,120.6202,,2025-02-06 11:35:03
PSJM,IA,Pelabuhan-Ratu,-6.9853,106.5604,,2025-02-06 11:35:03
PSLI,IA,Rajabasa-P.Sibesi,-5.93732,105.51004,,2025-02-06 11:35:03
PSSI,IA,Siau,2.7353,125.4045,,2025-02-06 11:35:03
PSSM,IA,Pematang-Sawah,-5.8643,104.6954,,2025-02-06 11:35:03
PTJI,IA,Pondok-Aren,-6.255535,106.748825,,2025-02-06 11:35:03
PTSM,IA,Pangaribuan,2.0118,99.166,,2025-02-06 11:35:03
PUPSI,IA,Pamona Utara,-1.733,120.676,,2025-02-06 11:35:03
PWCM,IA,Pitumpanua,-3.6739,120.4014,,2025-02-06 11:35:03
PWJI,IA,Pagerwojo,-8.22,111.8039,,2025-02-06 11:35:03
RASM,IA,Ranah-Ampek-HuluTapan,-2.16527,101.0705,,2025-02-06 11:35:03
RDCM,IA,Rio-Pakava,-1.2955,119.5524,,2025-02-06 11:35:03
RGRI,IA,Rengat,-0.3491,102.3338,,2025-02-06 11:35:03
RHRSI,IA,Rokan-Hilir,1.561797,101.002914,,2025-02-06 11:35:03
RKCM,IA,Rauta,-2.5625,121.345,,2025-02-06 11:35:03
RKPI,IA,Ransiki,-1.5107,134.1773,,2025-02-06 11:35:03
RLSI,IA,Rantau-Selatan,2.0686,99.8553,,2025-02-06 11:35:03
RMSM,IA,Rawas-Hulu,-2.62326,102.7617,,2025-02-06 11:35:03
RNFM,IA,Riung,-8.4294,121.0262,,2025-02-06 11:35:03
RONI,IA,Rote,-10.7658,123.0732,,2025-02-06 11:35:03
ROTTI,IA,RoteBaratDaya,-10.806,123.013,,2025-02-06 11:35:03
RRHRI,IA,Rokan-IV-Kota,0.571374,100.427397,,2025-02-06 11:35:03
RRSI,IA,Rambah,0.84096,100.34611,,2025-02-06 11:35:03
RSNI,IA,Ropang,-8.885942,117.482956,,2025-02-06 11:35:03
RSSM,IA,Ronggurnihuta,2.5981,98.7832,,2025-02-06 11:35:03
RTBI,IA,Rangdo,-8.4597,114.942,,2025-02-06 11:35:03
SAASI,IA,Seulimum,5.562,95.525,,2025-02-06 11:35:03
SADLY,IA,Gunung-Kencana,-6.5737854,106.074132,,2025-02-06 11:35:03
SAKJI,IA,Samigaluh,-7.686,110.155,,2025-02-06 11:35:03
SAMKI,IA,Meliau,-0.189253,110.363670,,2025-02-06 11:35:03
